chart_type,chart_id,question,explanation
line_simple,0ix8hz9qvakto18g,What is the sum of the year when the Ease of Doing Business score is the second largest and the year when the Ease of Doing Business score is the second smallest?,Sort the points by the “Ease of doing business score” value from highest to lowest. Select the year attached to the second entry in that descending order. Sort the points by the same score from lowest to highest. Select the year attached to the second entry in that ascending order. Add the two selected years.
bar_simple,0egdxqun1m2n9k4z,What is the average of the revenue multiple from 2006 to 2011?,Select the bars for the years 2006 through 2011 inclusive. Add their Revenue multiple values together. Divide the sum by the number of selected years to get the average.
bar_stacked,0aj7na7tkqb7iomu,What is the difference between the installed base million value of Tablets in 2017 and the installed base million value of Mobile PCs in 2022?,Locate the Tablets segment for the year 2017 and read its Installed_Base_Millions value. Locate the Mobile PCs segment for the year 2022 and read its Installed_Base_Millions value. Subtract the 2017 Tablets value from the 2022 Mobile PCs value to get the difference.
bar_simple,0gvrmm8qbn6o1vya,"What is the average of Season's ticket prices with a ticket price of $60 or less?
",Filter the bars to those with “Average ticket price in US dollars” at or below 60. Sum the ticket-price values for the remaining seasons. Count how many seasons remain after filtering. Divide the sum by the count to get the average.
bar_grouped,0egzejn5mejtnfdm,What is the difference between Scotland's largest value and England and Wales's smallest value?,Find Scotland’s maximum SharePercentage across the response-category panels. Find England & Wales’s minimum SharePercentage across the same panels. Subtract the England & Wales minimum from the Scotland maximum.
line_simple,0roec4s0drcyiuz4,"What is the average of the values in the period in which the Unemployment rate value falls for more than two years?
",Interpret “falls for more than two years” as the longest continuous run of quarters where the unemployment rate decreases from one quarter to the next. Select the quarters from the start of that decreasing run through its end. Sum the unemployment-rate values for those selected quarters. Divide by the number of selected quarters to get the average.
bar_simple,0eq4w2wsl864mhcj,"What is the average of the sales values of a company with a sales volume in million units of 60 or more?
",Filter the bars to those with sales volume at least 60 million units. Add the sales values for the remaining companies. Divide that sum by the count of those companies to get the average.
bar_stacked,0g0xma0b0k29lk5j,"Which year has the second largest difference between 65 years and older and 15–64 years?

",Compute the difference between the 15–64 years segment and the 65 years and older segment for each year. Sort these yearly differences from largest to smallest. Select the year associated with the second-largest difference.
bar_grouped,0fhm43s0j7glca29,Which year has the average of the values corresponding to 2018 or the larger value corresponding to 2020?,"Group the bars by year and compute the average revenue across all product categories for 2018. For 2020, scan the bars across product categories and take the single largest revenue value. Compare the 2018 average to the 2020 maximum and select the year associated with the larger of those two quantities."
bar_grouped,0gacqohbzj07n25s,What is the difference between the average of surgical values in European countries and the average of surgical values in Asian countries?,"Classify European countries as Germany, France, and Italy, and Asian countries as India, Turkey, and Japan. Extract the Surgical bar values for the European set and compute their average. Extract the Surgical bar values for the Asian set and compute their average. Subtract the Asian average from the European average."
line_simple,1c80b6i7wdu3m1ir,What is the sum of the y-values ​​for the period in which the y-axis value increased most sharply for two or more consecutive years?,Compute the year-to-year change in the y-value between each pair of adjacent years. Locate the longest run of at least two consecutive years where these changes are all positive and the total rise across the run is greatest. Sum the y-values for the years included in that run.
line_multiple,1k8qhmg9rui7gtzh,What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?,Filter the chart to the years 2010 through 2015 inclusive. Find the maximum Favorable_View_Percentage among the Germany points in that range. Find the minimum Favorable_View_Percentage among the U.S. points in that range. Subtract the U.S. minimum from the Germany maximum.
bar_grouped,0ihx2vzdsej883sq,What is the Male value in the category with the second-lowest Female share of employees?,Sort the categories by the Female “Share of employees” from lowest to highest. Select the category that ranks second in that ordering. Read the Male “Share of employees” value for that category from the corresponding bar.
bar_simple,0fh0emp095qhq3ag,What is the difference between the largest and smallest values between 2010 and 2019?,Filter the chart to the years 2010 through 2019 inclusive. Find the maximum “Number of victims” value within that range. Find the minimum “Number of victims” value within that range. Subtract the minimum from the maximum.
